2026-05-16 21:34:41.774 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-16 21:34:41.857 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-16 21:34:41.857 | WARNING  | backend.main:lifespan:20 - 发现中断任务 d184eece，正在尝试自动重启...
2026-05-16 21:34:41.858 | INFO     | pipeline.core:run_pipeline:13 - >>> 启动项目 d184eece 的深度逻辑 Pipeline
2026-05-16 21:34:41.858 | WARNING  | backend.main:lifespan:20 - 发现中断任务 35a8aa28，正在尝试自动重启...
2026-05-16 21:34:41.860 | INFO     | pipeline.core:run_pipeline:13 - >>> 启动项目 35a8aa28 的深度逻辑 Pipeline
2026-05-16 21:34:41.863 | SUCCESS  | pipeline.core:run_pipeline:35 - ℹ️ 状态机命中 [translating] 且物理资产完备，安全跳过物理提取步骤。
2026-05-16 21:34:41.866 | SUCCESS  | pipeline.core:run_pipeline:35 - ℹ️ 状态机命中 [translating] 且物理资产完备，安全跳过物理提取步骤。
2026-05-16 21:34:41.867 | WARNING  | pipeline.core:run_pipeline:88 - ⚠️ 校验未通过：PDF 总锚点 10 段，已翻译 3 段。正在对剩余 7 段进行断点续传...
2026-05-16 21:34:41.869 | WARNING  | pipeline.core:run_pipeline:88 - ⚠️ 校验未通过：PDF 总锚点 10 段，已翻译 1 段。正在对剩余 9 段进行断点续传...
2026-05-16 21:36:42.247 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-16 21:36:42.317 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-16 21:36:42.317 | WARNING  | backend.main:lifespan:20 - 发现中断任务 d184eece，正在尝试自动重启...
2026-05-16 21:36:42.318 | INFO     | pipeline.core:run_pipeline:13 - >>> 启动项目 d184eece 的深度逻辑 Pipeline
2026-05-16 21:36:42.318 | WARNING  | backend.main:lifespan:20 - 发现中断任务 35a8aa28，正在尝试自动重启...
2026-05-16 21:36:42.319 | INFO     | pipeline.core:run_pipeline:13 - >>> 启动项目 35a8aa28 的深度逻辑 Pipeline
